Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1939,9077,9175,9275,9309,9299,9315,9231,9400,9604,9873,9896,9949
1940,9927,9916,9884,9817,9810,9832,9766,10048,10258,10471,10643,10847
1941,10993,11211,11409,11698,11957,12204,12382,12532,12683,12770,12810,12876
1942,12965,13127,13311,13509,13704,13842,14072,14339,14582,14772,14971,15288
1943,15532,15685,15856,15961,16044,16204,16306,16369,16366,16512,16598,16526
1944,16439,16330,16170,16012,15944,15890,15832,15781,15662,15630,15568,15659
1945,15669,15581,15473,15335,15201,14948,14599,14201,12486,12487,12537,12528
1946,12719,11922,12545,13200,13389,13598,13771,13981,14135,14182,14310,14301
1947,14328,14278,14259,14240,14189,14200,14076,14200,14315,14393,14414,14428
1948,14438,14339,14364,14183,14235,14318,14359,14353,14441,14390,14292,14086
1949,13867,13734,13581,13439,13269,13178,13067,13158,13225,12891,12882,13062
1950,13161,13169,13290,13471,13780,13923,14072,14461,14561,14737,14762,14782
1951,14950,15076,15125,15166,15164,15176,15110,15061,14996,14973,14999,15045
1952,15067,15105,15127,15162,15143,14828,14707,15279,15553,15690,15843,15973
1953,16067,16158,16270,16293,16341,16343,16353,16278,16151,15981,15728,15581
1954,15440,15307,15197,15065,14974,14910,14799,14772,14805,14841,14913,14967
1955,15034,15138,15258,15375,15493,15585,15614,15679,15668,15740,15813,15859
1956,15882,15889,15829,15909,15893,15835,15468,15893,15863,15937,15916,15957
1957,15970,15998,15994,15970,15931,15873,15854,15867,15710,15599,15466,15332
1958,15130,14908,14670,14506,14414,14408,14450,14524,14658,14503,14827,14877
1959,14998,15115,15259,15385,15487,15554,15623,15202,15254,15158,15300,15573
1960,15687,15765,15707,15654,15575,15466,15413,15360,15330,15231,15112,14947
1961,14863,14801,14802,14825,14932,14981,15029,15093,15080,15143,15259,15309
1962,15322,15411,15451,15524,15513,15518,15522,15517,15568,15569,15530,15520
1963,15545,15542,15564,15602,15641,15624,15646,15644,15674,15714,15675,15712
1964,15715,15742,15770,15785,15812,15839,15887,15948,16073,15821,16096,16176
1965,16245,16291,16353,16418,16477,16554,16669,16732,16802,16864,16962,17051
1966,17143,17288,17400,17517,17625,17733,17760,17882,17886,17956,17981,17998
1967,18033,17978,17940,17878,17832,17812,17784,17905,17794,17800,17985,18025
1968,18040,18054,18067,18131,18190,18228,18265,18254,18252,18293,18346,18410
